"Source:","C:\Users\Bdabrowski\Desktop\NANOFC\NANOFC.kicad_sch"
"Date:","01.08.2022 21:52:02"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","39"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","R5","100k","Device:R","Resistor_SMD:R_1210_3225Metric","~","","","","","","","",""
"","","R6","100k","Device:R","Resistor_SMD:R_1210_3225Metric","~","","","","","","","",""
"","","R7","100k","Device:R","Resistor_SMD:R_1210_3225Metric","~","","","","","","","",""
"","","R8","65","Device:R","LED_SMD:LED_1210_3225Metric","~","","","","","","","",""
"","","R9","100k","Device:R","Resistor_SMD:R_1210_3225Metric","~","","","","","","","",""
"","","U1","3.3v REG","Regulator_Linear:AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","","","","","","","",""
"","","U2","LTV-827S","Isolator:LTV-827S","Package_DIP:SMDIP-8_W9.53mm","http://www.us.liteon.com/downloads/LTV-817-827-847.PDF","","","","","","","",""
"","","U3","LTV-817S","Isolator:LTV-817S","Package_DIP:SMDIP-4_W9.53mm","http://www.us.liteon.com/downloads/LTV-817-827-847.PDF","","","","","","","",""
"","","U4","W25Q128JVS","Memory_Flash:W25Q128JVS","KP-PTR_lib:SON127P500X600X80-9N","http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","1","A1","Arduino Nano","MCU_Module:Arduino_Nano_v3.x","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf","","","","","","","",""
"2","1","BZ1","Buzzer","Device:Buzzer","Buzzer_Beeper:Buzzer_CUI_CPT-9019S-SMT","~","","","","","","","",""
"3","1","C1","100nf","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","",""
"4","1","C2","100nF","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","",""
"5","1","D1","DIODE","pspice:DIODE","Diode_SMD:D_1210_3225Metric","~","","","","","","","",""
"6","1","D4","LED","Device:LED","LED_SMD:LED_PLCC-2","~","","","","","","","",""
"7","3","F1, F2, F3","Fuse","Device:Fuse","Fuse:Fuse_1206_3216Metric","~","","","","","","","",""
"8","1","J1","Power in","Connector:Screw_Terminal_01x02","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x02_P3.50mm_Vertical","~","","","","","","","",""
"9","1","J2","Pyro 1","Connector:Screw_Terminal_01x02","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x02_P3.50mm_Vertical","~","","","","","","","",""
"10","1","J3","BMP 280","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","","",""
"11","1","J4","Pyro 2","Connector:Screw_Terminal_01x02","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x02_P3.50mm_Vertical","~","","","","","","","",""
"12","1","J5","SIG","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","","",""
"13","1","J6","V+","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","","",""
"14","1","J7","GND","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","","",""
"15","1","J8","Master Arm","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","",""
"16","1","J9","P1 Arm","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","",""
"17","1","J10","P2 Arm","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","",""
"18","1","J11","Micro_SD_Card","Connector:Micro_SD_Card","Connector_Card:microSD_HC_Hirose_DM3D-SF","http://katalog.we-online.de/em/datasheet/693072010801.pdf","","","","","","","",""
"19","1","J12","UART","Connector:Conn_01x04_Male","Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical","~","","","","","","","",""
"20","3","JP1, JP2, JP3","SolderJumper_2_Open","Jumper:SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~","","","","","","","",""
"21","2","Q1, Q2","IRLR2905TRPBF","New_Library:IRLR2905TRPBF","Package_TO_SOT_SMD:TO-252-2","https://www.infineon.com/dgdl/irlr2905pbf.pdf?fileId=5546d462533600a40153566cc2bb2679","IRLR2905TRPBF","https://www.arrow.com/en/products/irlr2905trpbf/infineon-technologies-ag","INFINEON - IRLR2905TRPBF - Power MOSFET, N Channel, 55 V, 42 A, 0.027 ohm, TO-252AA, Surface Mount","2.39","Infineon","IRLR2905TRPBF","942-IRLR2905TRPBF","https://www.mouser.co.uk/ProductDetail/Infineon-IR/IRLR2905TRPBF?qs=nrWyqPbesnVkTkbbGee3hw%3D%3D"
"22","2","R1, R2","10k","Device:R","Resistor_SMD:R_1210_3225Metric","~","","","","","","","",""
"23","6","R3, R4, R5, R6, R7, R9","100k","Device:R","Resistor_SMD:R_1210_3225Metric","~","","","","","","","",""
"24","1","R8","65","Device:R","LED_SMD:LED_1210_3225Metric","~","","","","","","","",""
"25","1","U1","3.3v REG","Regulator_Linear:AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","","","","","","","",""
"26","1","U2","LTV-827S","Isolator:LTV-827S","Package_DIP:SMDIP-8_W9.53mm","http://www.us.liteon.com/downloads/LTV-817-827-847.PDF","","","","","","","",""
"27","1","U3","LTV-817S","Isolator:LTV-817S","Package_DIP:SMDIP-4_W9.53mm","http://www.us.liteon.com/downloads/LTV-817-827-847.PDF","","","","","","","",""
"28","1","U4","W25Q128JVS","Memory_Flash:W25Q128JVS","KP-PTR_lib:SON127P500X600X80-9N","http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf","","","","","","","",""
